site_no,HICAP_WELL_NO
3863,70433.0
3869,36699.0
3876,68338.0
3878,8.0
3879,316.0
3880,1031.0
3881,368.0
3882,254.0
3883,1447.0
3885,816.0
3886,1498.0
3887,767.0
3888,1012.0
3890,36432.0
3891,36732.0
3892,330.0
3893,2422.0
3894,2423.0
3895,2452.0
3896,1181.0
3897,71165.0
3898,5935.0
3899,2427.0
3900,376.0
3901,246.0
3902,129.0
3903,294.0
3904,321.0
3905,2444.0
3906,164.0
3907,343.0
3908,68772.0
3909,23772.0
3910,23773.0
3911,23738.0
3912,23997.0
3913,36305.0
3914,36304.0
3915,36329.0
3916,23752.0
3917,23889.0
3918,71070.0
3919,68940.0
3920,3520.0
3921,3676.0
3922,24290.0
3923,23671.0
3924,2975.0
3925,24201.0
3926,23646.0
3927,23723.0
3928,23798.0
3929,23629.0
3930,23837.0
3931,23668.0
3932,23704.0
3933,23801.0
3934,71064.0
3935,36480.0
3936,23903.0
3938,23985.0
3940,68936.0
3942,23776.0
3943,23847.0
3944,36496.0
3945,36665.0
3946,23790.0
3949,23936.0
3950,23825.0
3951,23830.0
3952,24309.0
3954,23874.0
3955,23860.0
3956,23866.0
3957,23868.0
3958,24059.0
3959,23873.0
3961,23932.0
3962,24010.0
3963,24203.0
3964,23950.0
3965,24023.0
3966,23934.0
3967,24197.0
3970,23982.0
3971,23994.0
3972,2941.0
3973,69679.0
3974,67673.0
3975,24033.0
3976,24092.0
3979,24228.0
3980,23927.0
3981,36562.0
3982,36561.0
3983,24150.0
3984,24152.0
3986,69480.0
3987,4174.0
3988,24194.0
3989,23804.0
3990,2232.0
3991,23636.0
3992,23716.0
3994,477.0
3995,24274.0
3996,24275.0
3998,24300.0
3999,23783.0
4000,23770.0
4019,35315.0
4022,424.0
4023,69659.0
4026,36593.0
4027,36607.0
4028,36610.0
4029,36652.0
4030,36651.0
4031,11339.0
4032,436.0
4039,575.0
4041,731.0
4042,12921.0
4043,24322.0
4044,495.0
4045,755.0
4046,38626.0
4049,12977.0
4056,912.0
4057,1875.0
4060,36427.0
4061,69564.0
4062,70314.0
4063,851.0
4070,2986.0
4074,29712.0
4075,8205.0
4076,3861.0
