,total_receipts,acres_irrigated,site_no
23752,63733.39500269513,35.508413782424896,3916
23889,70044.96797191616,39.0248425651626,3917
23646,56853.04553944818,31.675096952239926,3926
23723,70084.98066641398,39.047135231553874,3927
23798,48263.241998419035,26.889375142948218,3928
23629,48356.760492008965,27.131468896136013,3929
23837,67465.00299397507,37.58744127848985,3930
23985,56821.56173372666,31.657556069615396,3938
23776,30087.971126062796,40.2513952513,3942
23847,62572.02688298275,34.86136932877983,3943
23790,62017.077096734305,34.55218469115391,3946
23936,64980.08351510592,36.20299362639219,3949
23866,116795.36598750664,65.07135204673727,3956
23868,50018.41557661575,27.86725227740736,3957
24059,24082.52492761866,38.676126100961085,3958
24010,59390.82377902209,36.31148443783558,3962
24203,59390.82377902209,36.31148443783558,3963
23934,76886.72998382885,42.83666078871084,3966
24197,68203.05100174708,37.99863723078698,3967
67673,129724.35097598945,72.274604733,3974
24033,46789.685003584804,31.05656807323858,3975
69480,46875.32112990538,27.7205239220388,3986
23716,65217.93756491807,36.41536091224146,3992
24274,27161.066162785763,36.33581024737116,3995
23770,57936.29407247013,32.278617871502455,4000
23697,16780.154994370703,22.519472292934438,4286
23610,64920.75049581768,37.62422265156379,4976
23700,69289.3282226268,38.60384555273168,5100
23895,48369.48001385751,26.94856457435154,5265
23630,57610.37185816887,35.534511551213996,5266
24166,63841.24997697858,35.5685040860277,5273
23823,69456.80014230864,38.69715083202439,5282
23998,31133.84423420157,17.3459051359,5287
23794,50600.981852883146,28.19182316198858,5289
23919,42701.681000131764,23.790807913083412,5294
24037,28375.294898245957,28.23404899257892,5298
23876,19524.527285189255,31.3560592842,5299
24120,17475.204400378778,33.36443114632165,5300
24307,70031.02264226657,39.017073066369875,5305
24036,68692.28638634451,38.271209756894436,5306
23709,63290.83659066749,35.318145591435226,5315
70191,61941.353954889615,34.50999631168012,5318
23967,26881.941814750102,35.96240040827062,5325
24091,34635.04059732193,19.872346154920777,6285
23898,34077.53635826072,45.5885968316,6407
23753,89028.34346493264,49.60123743577429,6503
23721,61038.67543353324,34.007078140641624,6512
24016,68456.2876924629,38.13972548127872,6525
23618,56413.79314459266,31.43037194126583,6531
23757,58669.8539925044,32.68731333129521,6532
23966,37644.49120120657,20.973245974810702,6543
23638,67503.23533817769,37.60874204079446,6548
23980,65651.0921796516,36.5768392894276,6550
24024,118692.83527696607,67.65040364924616,6551
23983,66429.46891588613,37.010503983229974,6552
70548,28591.884163997915,38.2499446587,6553
23987,17231.17469758238,23.05169798557127,6554
24047,23475.34322224809,36.05851273131681,6564
24121,38857.56527101507,24.91926794740239,6568
24042,17389.113730661844,30.432768420490802,6571
23800,60616.34787517894,33.771782630444314,6579
3473,76077.9688151975,42.386067716967126,6582
24080,64087.76198073958,35.913075199705155,6583
24285,37664.33632319402,60.4882845766,6591
24311,89855.98739164874,50.0623508444214,6596
807,37559.515845348804,28.86157492376697,6640
23864,67765.33993758779,37.75477095655734,6740
1683,47785.368719479666,26.623132898620486,6741
23698,16479.54699035007,22.07227060669551,6852
23890,61676.11162363984,34.36221924048795,7565
69508,27926.956625310715,37.360411062,7584
70186,69826.84779604281,38.90331912429022,7593
71156,61135.11682102076,34.06080948027155,7687
23639,57588.69301335842,32.08495547147456,7796
23729,59410.0303906709,33.0996950946858,7797
23653,68945.72711228403,38.412411683539,7798
23984,60759.67563502643,33.8516362362809,7811
23820,46528.88278000252,25.92309451766076,7814
24043,60496.59311513636,34.38966349719355,7815
23848,67566.47051954758,37.64397287991097,7818
23888,56026.83190931006,31.21478041880588,7820
