,LPR
418,0.006689931026155831
466,0.3830910599467256
467,0.2874797103858698
490,5.003177415942263e-12
509,2.75348487774215e-07
602,5.179374008667257e-15
603,2.7282326160175695e-15
798,6.53525236086237e-08
807,0.0003775120519856255
850,9.103725878762451e-06
862,6.120902270615761e-05
1013,2.3596942832707468e-09
1302,2.4009587181835797e-09
1323,6.015333221165459e-05
1486,0.007652737595424734
1584,0.04024489113548715
1589,1.1249925560750616e-06
1643,6.952443433858175e-05
1683,9.048275128310071e-08
1860,0.00010479178415406826
2544,0.0005013113311308522
2750,1.933158597666595e-06
2886,0.04943058947517213
3473,2.9239866736103352e-06
3949,0.0023467020871096914
4171,3.3903847465445534e-05
23610,0.00790164040477478
23611,0.030663779993734444
23618,0.0038273784733938044
23620,6.82345794339583e-08
23627,0.34516697598206686
23629,0.000300385671519535
23630,0.00021636836262691527
23631,0.00025935058045060256
23635,7.073218932681943e-08
23637,1.1936359063820413e-05
23638,0.06134015715353263
23639,0.006551033606126351
23645,0.0789381337394696
23646,0.0687116602176004
23648,5.2179931365235514e-08
23653,0.3264825852902851
23695,1.4073837936689686e-05
23697,2.0808372841790714e-11
23698,4.883511718095858e-10
23699,1.2017597104084602e-07
23700,1.224584455979543e-07
23709,0.00020208769646810846
23710,6.867649020969605e-07
23715,0.0001592835146609966
23716,7.444683097809335e-05
23720,0.008460118552131959
23721,0.00687704368932108
23722,0.005726532766962241
23723,0.0008715130268763187
23726,1.7187585631471516e-05
23727,1.4887402187341865e-05
23728,0.00020187338383753756
23729,0.00037000610033536603
23751,3.420074921407945e-05
23752,0.03656966475922292
23753,0.010291312859804497
23754,1.5899369182800292e-08
23755,0.3921938723258593
23756,1.832938028282939e-05
23757,4.877150957893191e-05
23758,0.00018772315775919223
23770,0.11324206493101861
23776,5.756374681428644e-05
23778,0.0001287289922510169
23781,0.04239410138859756
23790,0.0004121229467544015
23791,0.00042215241227115024
23794,0.05234543392829285
23795,1.5339322657554595e-05
23798,0.002318034589840636
23800,0.02354081414232274
23807,1.262051875382882e-05
23816,0.0959383684360204
