,LPR
418,0.0086966642364418
466,0.4548644046923434
467,0.3569737624102262
490,7.699735471954145e-13
509,2.303785164688043e-07
602,6.541479989547117e-16
603,3.6219432865354877e-16
798,3.692044953275391e-08
807,0.00020535340773270017
850,1.6728313057687773e-06
862,5.118012308543348e-05
1013,1.0092466109392974e-10
1302,7.149867648158521e-10
1323,4.9474918759642165e-05
1486,0.009869172299117388
1584,0.049963581430064435
1589,6.66252697973055e-07
1643,4.101877601663651e-05
1683,5.329622169908203e-08
1860,6.666149757652984e-05
2544,0.000428899636775692
2750,8.730083957534429e-07
2886,0.059920479187714586
3473,6.417689564996715e-07
3949,0.0029358254988226216
4171,1.6321634440468052e-05
23610,0.010211048716611645
23611,0.03182522899213708
23618,0.004818288437092677
23620,1.0702042901979457e-08
23627,0.3654933815389593
23629,0.00017389238775693283
23630,0.0001679643264794803
23631,0.00018442732394632831
23635,2.218158255240099e-08
23637,2.3781223547456098e-06
23638,0.0896741673194476
23639,0.007338939396020524
23645,0.10383793582051705
23646,0.09902040459295268
23648,1.5752238045052128e-08
23653,0.35424569414463153
23695,1.0571481475865642e-05
23697,4.5683879825203466e-12
23698,1.1588836674658596e-10
23699,2.8613729880057323e-08
23700,4.0669722008147435e-08
23709,0.0001348107237832748
23710,2.126500645622612e-07
23715,8.211764168831162e-05
23716,3.302780664792088e-05
23720,0.008434518025668686
23721,0.007082297246391978
23722,0.0081592678611196
23723,0.0003847110217499768
23726,9.292498885887644e-06
23727,9.865699065018491e-06
23728,9.896535540820533e-05
23729,0.00026336597316411797
23751,1.7487107293534697e-05
23752,0.053142183050277354
23753,0.014791021475459798
23754,5.633151185177831e-09
23755,0.45890310922518524
23756,7.658917565408104e-06
23757,1.0561906223178734e-05
23758,5.887314999745836e-05
23770,0.13237985485968143
23776,2.7509305390315057e-05
23778,8.883937923723482e-05
23781,0.06147534004499706
23790,7.356737498548474e-05
23791,8.807545602973563e-05
23794,0.0626773446812554
23795,1.0655251177654527e-05
23798,0.002434482851575898
23800,0.035209719333116375
23807,5.896863408474829e-06
23816,0.11164479328356519
23818,8.723560623821306e-08
23820,1.9396662638929894e-05
23823,4.767757111182009e-06
23836,0.24432411558819345
23837,0.051307776310338976
23846,0.00013295308286618025
