parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
global_s,none,factor,0.12,0.05,0.2,global_s,1.0,0.0,1
global_t,log,factor,1700.0,600.0,60000.0,global_t,1.0,0.0,1
well_1013__stream_apportionment11,none,relative,0.0013,0.0,0.1013,apportionment,1.0,0.0,1
well_1302__stream_apportionment12,none,relative,0.0275,0.0,0.1275,apportionment,1.0,0.0,1
well_1323__stream_apportionment13,none,factor,0.2554,0.1554,0.35540000000000005,apportionment,1.0,0.0,1
well_1486__stream_apportionment14,none,factor,0.6416,0.5416,0.7415999999999999,apportionment,1.0,0.0,1
well_1584__stream_apportionment15,none,factor,0.9581,0.8581,1.0,apportionment,1.0,0.0,1
well_1589__stream_apportionment16,none,relative,0.0936,0.0,0.1936,apportionment,1.0,0.0,1
well_1643__stream_apportionment17,none,relative,0.0959,0.0,0.19590000000000002,apportionment,1.0,0.0,1
well_1683__stream_apportionment18,none,relative,0.091,0.0,0.191,apportionment,1.0,0.0,1
well_1860__stream_apportionment19,none,factor,0.1224,0.02239999999999999,0.2224,apportionment,1.0,0.0,1
well_23610__stream_apportionment26,none,factor,0.6052,0.5052,0.7051999999999999,apportionment,1.0,0.0,1
well_23611__stream_apportionment27,none,factor,0.5394,0.4394,0.6394,apportionment,1.0,0.0,1
well_23618__stream_apportionment28,none,factor,0.594,0.494,0.694,apportionment,1.0,0.0,1
well_23620__stream_apportionment29,none,relative,0.0114,0.0,0.1114,apportionment,1.0,0.0,1
well_23627__stream_apportionment30,none,factor,0.996,0.896,1.0,apportionment,1.0,0.0,1
well_23629__stream_apportionment31,none,factor,0.1288,0.028799999999999992,0.2288,apportionment,1.0,0.0,1
well_23630__stream_apportionment32,none,factor,0.1619,0.06189999999999998,0.2619,apportionment,1.0,0.0,1
well_23631__stream_apportionment33,none,factor,0.1852,0.0852,0.2852,apportionment,1.0,0.0,1
well_23635__stream_apportionment34,none,relative,0.0306,0.0,0.1306,apportionment,1.0,0.0,1
well_23637__stream_apportionment35,none,relative,0.0186,0.0,0.11860000000000001,apportionment,1.0,0.0,1
well_23638__stream_apportionment36,none,factor,0.8466,0.7466,0.9466,apportionment,1.0,0.0,1
