iteration,total_runs,obs_realization,par_realization,obgnme
0,500,0,0,37.5484
0,500,1,1,3.13517
0,500,2,2,170.148
0,500,3,3,40.64
0,500,4,4,3.60966
0,500,5,5,20.5981
0,500,6,6,17.2476
0,500,7,7,1.8451
0,500,8,8,8.90418
0,500,9,9,73.8236
0,500,10,10,0.227562
0,500,11,11,63.8901
0,500,12,12,10.8548
0,500,13,13,9.38941
0,500,14,14,7.46997
0,500,15,15,4.71644
0,500,16,16,17.6042
0,500,17,17,125.706
0,500,18,18,56.9953
0,500,19,19,12.2276
0,500,20,20,24.0999
0,500,21,21,21.5301
0,500,22,22,81.5306
0,500,23,23,3.38104
0,500,24,24,7.15514
0,500,25,25,13.1859
0,500,26,26,15.9439
0,500,27,27,33.594
0,500,28,28,24.1581
0,500,29,29,1.78373
0,500,30,30,26.8761
0,500,31,31,4.03435
0,500,32,32,24.4473
0,500,33,33,7.96893
0,500,34,34,29.2091
0,500,35,35,17.9316
0,500,36,36,45.9586
0,500,37,37,75.7478
0,500,38,38,25.3274
0,500,39,39,9.12143
0,500,40,40,6.75204
0,500,41,41,1.08372
0,500,42,42,17.7788
0,500,43,43,2.00496
0,500,44,44,3.14123
0,500,45,45,161.252
0,500,46,46,47.1159
0,500,47,47,0.195076
0,500,48,48,84.2176
0,500,49,49,55.5675
0,500,50,50,193.132
0,500,51,51,43.831
0,500,52,52,22.5338
0,500,53,53,128.072
0,500,54,54,11.8494
0,500,55,55,129.022
0,500,56,56,18.1672
0,500,57,57,1.78259
0,500,58,58,17.5545
0,500,59,59,0.845832
0,500,60,60,0.180143
0,500,61,61,6.68375
0,500,62,62,21.1192
0,500,63,63,0.27062
0,500,64,64,116.172
0,500,65,65,16.3741
0,500,66,66,35.4393
0,500,67,67,5.31324
0,500,68,68,75.4529
0,500,69,69,1.95631
0,500,70,70,9.81764
0,500,71,71,72.4737
0,500,72,72,52.0321
0,500,73,73,9.54702
0,500,74,74,3.23694
0,500,75,75,35.8015
0,500,76,76,87.9458
0,500,77,77,10.0232
0,500,78,78,1.43281
0,500,79,79,0.396376
0,500,80,80,81.7484
0,500,81,81,86.0944
0,500,82,82,68.7837
0,500,83,83,68.3374
0,500,84,84,0.359944
0,500,85,85,10.3539
0,500,86,86,1.71842
0,500,87,87,0.556661
0,500,88,88,87.7611
0,500,89,89,21.3062
0,500,90,90,1.07984
0,500,91,91,0.343719
0,500,92,92,0.56319
0,500,93,93,31.6929
0,500,94,94,0.325549
0,500,95,95,11.2185
0,500,96,96,110.815
0,500,97,97,0.76551
0,500,98,98,33.4324
0,500,99,99,24.1647
0,500,100,100,51.4791
0,500,101,101,0.501847
0,500,102,102,9.90165
0,500,103,103,72.4846
0,500,104,104,83.5134
0,500,105,105,14.8921
0,500,106,106,10.3516
0,500,107,107,79.2325
0,500,108,108,73.608
0,500,109,109,57.0234
0,500,110,110,167.678
0,500,111,111,16.213
0,500,112,112,59.4234
0,500,113,113,74.0891
0,500,114,114,195.323
0,500,115,115,0.682501
0,500,116,116,107.558
0,500,117,117,13.1189
